day,open,high,low,close,volume,stock
5,130.30965848119723,130.64787736984422,127.55051924252426,128.39496267013376,4946,MSFT
6,128.5001694771446,129.32818890876354,127.29440068896722,128.6394349501882,5240,MSFT
7,128.46637944382357,128.46637944382357,124.20335865048656,125.39870118851273,2565,MSFT
8,125.50840562545604,129.71426035601834,124.36962043986507,128.9808178620722,3120,MSFT
9,128.9028151619961,130.40148369797296,128.56838832358054,129.39671677509006,3007,MSFT
10,129.1227883761981,129.30975400955032,126.27966284350994,129.23285310250702,1609,MSFT
11,129.33254345079973,130.21473857886323,127.08830739249626,130.072981223519,11797,MSFT
12,129.99962075066048,130.42575810464373,127.66285545072313,127.78550753336171,968,MSFT
13,127.77560931346788,129.66781058694067,127.2321210677757,129.2438045393618,871,MSFT
14,129.0069401660912,132.12192384947213,127.40802824134515,131.96763178809243,97495,MSFT
15,132.20832311614717,132.74251532800204,129.58865135814528,131.39578603217427,3194,MSFT
16,131.26507204763092,132.56669805915809,130.7791515960445,131.12009733011394,1318,MSFT
17,131.0699288212284,133.37925968811038,130.6113120652527,133.07510958549742,108626,MSFT
18,133.16032433419815,135.4331090932175,132.92711205477883,135.12629037617165,5746,MSFT
19,135.07194988124806,136.6496211623479,134.23051541691333,134.97798711607908,5967,MSFT
20,134.93571243403676,136.9578829920331,134.93571243403676,135.73605625770824,3397,MSFT
21,135.58732982789138,135.92293301425224,133.19147163508134,134.417423899914,2273,MSFT
22,134.5518858871463,134.81294888741758,131.4603555621824,131.82664909276193,93090,MSFT
23,131.85853111067755,133.1867279067438,128.61702587815486,129.3714888916125,3205,MSFT
24,129.3618725940549,132.30226387116775,128.68049844517694,132.0652034168462,3261,MSFT
25,131.99600503263184,132.4923665491914,130.19254440399848,132.0382606467399,24526,MSFT
26,132.02280849752833,134.18883530921167,131.36337077209532,133.44920229408316,1603,MSFT
27,133.65274313198353,134.91881235835453,131.93172075747168,134.8794745113105,1696,MSFT
28,134.8216119624371,135.65497965788657,132.6279568170804,132.6279568170804,85023,MSFT
29,132.67031738134384,132.82872245148772,129.30458787128194,130.34767804838586,98898,MSFT
30,130.38884482064248,132.95328820115904,129.59240139004075,132.70252466704702,69018,MSFT
31,132.56022059498068,136.0997534861483,132.09149216378682,135.76414676012934,64157,MSFT
32,135.9422512492748,137.95148355021374,134.70542158283172,134.70542158283172,83294,MSFT
33,134.58985548211803,134.92074230608037,132.28544052664316,132.63732031275748,4585,MSFT
34,132.5957727139544,132.69974259708206,130.17791849549357,130.4526742219808,4368,MSFT
35,130.43583188745296,132.3313224156417,130.43406600760656,131.24255374068701,74952,MSFT
36,131.19065553942787,131.63019614380855,128.5325604053214,129.4814986934464,7415,MSFT
37,129.58981970419876,130.85109314532428,128.4581909545454,130.6714518075297,8271,MSFT
38,130.52801476711446,132.42138105848852,129.96202823288593,131.6424072285515,943,MSFT
39,131.85763261433115,131.85763261433115,128.89385070199233,129.2235851497679,5714,MSFT
40,129.18954865175002,132.01837019958458,129.18954865175002,131.80147026120719,342,MSFT
41,131.8236434038317,133.32766868129264,130.94572503233687,133.2898398435868,368,MSFT
42,133.275388432155,134.54710892604388,132.617962572787,133.33714418740004,10948,MSFT
43,133.28713530567697,133.28713530567697,132.47190256817785,132.5326618314068,7,MSFT
44,132.42033591746892,132.55497585068667,132.37133734334049,132.55497585068667,6,MSFT
45,132.57707464555776,133.03244527972151,130.63147200561613,130.78708701423758,76956,MSFT
46,131.16213155933912,131.16213155933912,131.16213155933912,131.16213155933912,0,MSFT
47,131.16213155933912,133.15265781876334,131.16213155933912,132.97960995235798,39012,MSFT
48,132.988445648254,135.0564187327803,132.84663116578523,134.20206487865576,467,MSFT
49,134.18381798073128,134.5817315941646,132.34076732564498,132.78559328105214,47537,MSFT
50,132.79883609399783,134.07344333544782,131.61943144462532,133.40995317219358,1522,MSFT
51,133.38300322103248,134.17390798688163,132.20457644739653,132.81506399564995,1858,MSFT
52,132.81982362973935,133.82194995351566,130.51534066245137,133.57742134522175,99765,MSFT
53,133.59937034264672,134.0961323253501,130.44949093404847,133.7215897757769,5248,MSFT
54,133.7099521660277,134.16584957126193,132.0963151702213,133.02530287275835,88762,MSFT
55,132.95173991739443,137.03635638447545,131.6322426111721,136.65187700948363,1429,MSFT
56,136.61110619065403,137.76714605899176,135.77771566966896,136.54052933850878,8346,MSFT
57,136.33498877324993,138.11656631084097,135.2294453810606,138.00740627627596,2723,MSFT
