day,strategy,stock,profit
18,noise,DSM,1341081.7755263457
18,noise,SHOP,801220.378539899
18,arbitrage,AAPL,4743887.202795525
18,arbitrage,MSFT,4008935.472475445
18,arbitrage,DSM,4857049.764640858
18,arbitrage,SHOP,4156895.320403896
18,risk_averse,AAPL,826910.2642667132
18,risk_averse,MSFT,724796.0830627725
18,risk_averse,DSM,9116447.073383639
18,risk_averse,SHOP,3835156.3479286362
18,mean_reversion,AAPL,4742292.082686986
18,mean_reversion,MSFT,4045404.8989433874
18,mean_reversion,DSM,4842341.336686032
18,mean_reversion,SHOP,4226385.379253842
18,contrarian,AAPL,10142571.21014633
18,contrarian,MSFT,1116774.8816181405
18,contrarian,DSM,1327190.4824578979
18,contrarian,SHOP,1125738.9533691576
18,hft,AAPL,14515.59298770648
18,hft,MSFT,15398.202286462278
18,hft,DSM,8334.775841072827
18,hft,SHOP,9867.58835669263
19,momentum,AAPL,1297501.395217368
19,momentum,MSFT,11014127.527428227
19,momentum,DSM,6517189.63284581
19,momentum,SHOP,7298782.282365569
19,evolving,AAPL,9014918.252952868
19,evolving,MSFT,4798718.741291672
19,evolving,DSM,4971821.558115747
19,evolving,SHOP,6522248.872048274
19,noise,AAPL,1538465.9400434343
19,noise,MSFT,1610727.599325095
19,noise,DSM,1320855.0842983937
19,noise,SHOP,790817.0103656384
19,arbitrage,AAPL,4752178.755389684
19,arbitrage,MSFT,4004891.945042184
19,arbitrage,DSM,4810761.409969129
19,arbitrage,SHOP,4107908.436963603
19,risk_averse,AAPL,828355.5705427009
19,risk_averse,MSFT,724065.032921044
19,risk_averse,DSM,9029566.074438376
19,risk_averse,SHOP,3789960.9935810566
19,mean_reversion,AAPL,4750580.847267493
19,mean_reversion,MSFT,4041324.5873993733
19,mean_reversion,DSM,4796193.155362895
19,mean_reversion,SHOP,4176579.591041897
19,contrarian,AAPL,10160298.794937856
19,contrarian,MSFT,1115648.4704046298
19,contrarian,DSM,1314542.1739690418
19,contrarian,SHOP,1112472.6960683765
19,hft,AAPL,13422.428226386417
19,hft,MSFT,12818.892681233492
19,hft,DSM,17643.775023103513
19,hft,SHOP,10438.015419900712
20,momentum,AAPL,1302558.157892578
20,momentum,MSFT,11103382.026935855
20,momentum,DSM,6599144.588621174
20,momentum,SHOP,7223697.443025076
20,evolving,AAPL,9168079.715774175
20,evolving,MSFT,5086423.091163471
20,evolving,DSM,5167650.652221375
20,evolving,SHOP,6455152.472984568
20,noise,AAPL,1191760.3096471364
20,noise,MSFT,1224895.9376651742
20,noise,DSM,1071089.291449518
20,noise,SHOP,784856.5010636738
20,arbitrage,AAPL,4782478.964904286
20,arbitrage,MSFT,4024231.9492918192
20,arbitrage,DSM,4853296.804677447
20,arbitrage,SHOP,4065649.1075189523
20,risk_averse,AAPL,833637.221051244
20,risk_averse,MSFT,843353.1915294889
20,risk_averse,DSM,9198075.229483953
20,risk_averse,SHOP,3750972.48819744
20,mean_reversion,AAPL,4780870.868413055
20,mean_reversion,MSFT,4060840.5283453516
20,mean_reversion,DSM,4838599.741675395
20,mean_reversion,SHOP,4133613.8201153884
20,contrarian,AAPL,10489130.98331581
20,contrarian,MSFT,1098257.371605936
20,contrarian,DSM,1322735.6701846404
20,contrarian,SHOP,1101028.3440623078
20,hft,AAPL,13508.010526293227
20,hft,MSFT,12880.796333649681
20,hft,DSM,17799.77630248467
20,hft,SHOP,8019.836086379753
21,momentum,AAPL,1320061.7852166872
21,momentum,MSFT,11035945.680463735
21,momentum,DSM,6731185.680843024
21,momentum,SHOP,7391451.665080128
21,evolving,AAPL,9291279.320836183
21,evolving,MSFT,5096152.677975694
21,evolving,DSM,4937556.764047643
21,evolving,SHOP,6218802.489954705
21,noise,AAPL,1206308.312860969
21,noise,MSFT,975904.82833948
21,noise,DSM,965419.1546076194
21,noise,SHOP,736866.4760331863
21,arbitrage,AAPL,4846745.369425175
21,arbitrage,MSFT,3993499.973130474
21,arbitrage,DSM,4907175.863680314
21,arbitrage,SHOP,4032877.6391861737
21,risk_averse,AAPL,844839.5425386665
21,risk_averse,MSFT,1010619.2148983619
21,risk_averse,DSM,9646431.207395466
21,risk_averse,SHOP,3720737.494260855
21,mean_reversion,AAPL,4845115.663517498
21,mean_reversion,MSFT,4029828.98232
21,mean_reversion,DSM,4892315.640674553
21,mean_reversion,SHOP,4100294.517139802
21,contrarian,AAPL,10630082.723991161
21,contrarian,MSFT,1089870.275685911
21,contrarian,DSM,1337420.0705185
21,contrarian,SHOP,1092153.422848833
21,hft,AAPL,13526.55903370175
21,hft,MSFT,12782.429159278898
21,hft,DSM,17997.381195866474
21,hft,SHOP,7955.191598528384
22,momentum,AAPL,1326239.274969568
